Region,Year,Kilotons of Co2,Metric Tons Per Capita
Africa,1990,612610.0,39.85
Africa,1991,628940.0,41.23
Africa,1992,639220.0,42.54
Africa,1993,653340.0,43.34
Africa,1994,659800.0,44.71
Africa,1995,699730.0,46.74
Africa,1996,736780.0,48.31
Africa,1997,756630.0,48.62
Africa,1998,767030.0,50.32
Africa,1999,765450.0,52.44
Africa,2000,784500.0,50.66
Africa,2001,844140.0,53.44
Africa,2002,856040.01,54.48
Africa,2003,901350.0,55.99
Africa,2004,949439.99,57.97
Africa,2005,984239.99,61.49
Africa,2006,1001430.01,62.1
Africa,2007,1030239.99,60.14
Africa,2008,1089489.99,62.46
Africa,2009,1083370.01,62.52
Africa,2010,1142620.0,63.59
Africa,2011,1138690.01,60.65
Africa,2012,1207269.99,64.01
Africa,2013,1247530.01,64.14
Africa,2014,1294080.0,64.29
Africa,2015,1287860.0,62.39
Africa,2016,1302390.01,62.51
Africa,2017,1331319.99,62.15
Africa,2018,1356890.0,62.62
Africa,2019,1392170.01,62.43
Americas,1990,6153650.0,107.45
Americas,1991,6136400.0,107.74
Americas,1992,6238710.0,115.36
Americas,1993,6374560.0,109.39
Americas,1994,6504800.0,109.82000000000001
Americas,1995,6590790.0,112.46
Americas,1996,6829590.0,113.88
Americas,1997,7183640.0,118.02
Americas,1998,7286590.0,122.84
Americas,1999,7307720.0,121.74000000000001
Americas,2000,7534560.0,120.39
Americas,2001,7504500.0,122.6
Americas,2002,7371979.78,123.08
Americas,2003,7478810.210000001,126.32000000000001
Americas,2004,7606630.0200000005,127.26
Americas,2005,7678890.2700000005,129.29
Americas,2006,7612370.09,132.34
Americas,2007,7772989.82,135.46
Americas,2008,7617839.84,134.67
Americas,2009,7158080.199999999,194.71
Americas,2010,7500119.87,133.27
Americas,2011,7358280.06,139.3
Americas,2012,7212100.109999999,150.08
Americas,2013,7399390.05,136.12
Americas,2014,7429469.96,134.34
Americas,2015,7299529.97,133.35
Americas,2016,7158240.02,130.79
Americas,2017,7073040.14,127.51
Americas,2018,7201080.079999999,129.74
Americas,2019,7025920.22,129.75
Asia,1990,6006340.0,262.64
Asia,1991,6263970.0,255.63
Asia,1992,6507950.0,257.4
Asia,1993,6817610.0,261.51
Asia,1994,7113580.0,267.88
Asia,1995,7590590.0,268.12
Asia,1996,7715660.0,268.25
Asia,1997,7919920.0,275.08
Asia,1998,7929150.0,270.39
Asia,1999,8053210.0,273.52
Asia,2000,8471250.0,277.16
Asia,2001,8747100.0,278.47
Asia,2002,9193630.07,285.24
Asia,2003,9962140.13,292.5
Asia,2004,10923279.85,296.97
Asia,2005,11803539.82,299.7
Asia,2006,12656240.19,307.64
Asia,2007,13552540.11,302.61
Asia,2008,13971290.049999999,304.86
Asia,2009,14575379.74,290.92
Asia,2010,15733329.8,296.85
Asia,2011,16882089.8,303.75
Asia,2012,17462070.07,309.22
Asia,2013,18029580.41,304.93
Asia,2014,18289940.04,300.92
Asia,2015,18237989.56,296.95
Asia,2016,18398350.22,298.39
Asia,2017,18931869.65,299.34
Asia,2018,19538569.66,295.66
Asia,2019,19851619.78,298.42
Europe,1990,7279850.0,364.86
Europe,1991,7162400.0,352.27
Europe,1992,6830530.0,329.88
Europe,1993,6504700.0,319.48
Europe,1994,6178910.0,307.52
Europe,1995,6157240.0,300.21
Europe,1996,6195330.0,310.58
Europe,1997,5983070.0,304.63
Europe,1998,5959940.0,302.35
Europe,1999,5912940.0,294.61
Europe,2000,5959390.0,294.09
Europe,2001,6039720.0,301.66
Europe,2002,6021079.9399999995,302.21
Europe,2003,6205229.98,314.38
Europe,2004,6187520.03,316.52
Europe,2005,6160999.95,313.06
Europe,2006,6229119.92,315.24
Europe,2007,6185540.0,313.45
Europe,2008,6082409.96,306.98
Europe,2009,5616990.05,282.86
Europe,2010,5817349.96,294.86
Europe,2011,5780879.95,286.74
Europe,2012,5707800.01,277.07
Europe,2013,5568690.05,271.27
Europe,2014,5317220.0,256.86
Europe,2015,5297070.03,253.41
Europe,2016,5278730.03,251.83
Europe,2017,5283760.04,253.57
Europe,2018,5290960.02,250.92
Europe,2019,5169919.98,240.6
Oceania,1990,289350.0,40.76
Oceania,1991,290830.0,40.1
Oceania,1992,296630.0,54.39
Oceania,1993,300910.0,53.300000000000004
Oceania,1994,308160.0,53.02
Oceania,1995,318400.0,53.29
Oceania,1996,330280.0,52.54
Oceania,1997,339760.0,52.870000000000005
Oceania,1998,360290.0,53.59
Oceania,1999,366810.0,52.93
Oceania,2000,373690.0,53.47
Oceania,2001,382880.0,54.22
Oceania,2002,390620.0,54.35
Oceania,2003,392369.99,53.879999999999995
Oceania,2004,406420.0,55.800000000000004
Oceania,2005,412000.0,57.839999999999996
Oceania,2006,417339.99,55.44
Oceania,2007,426740.0,53.699999999999996
Oceania,2008,430130.0,51.2
Oceania,2009,433820.01,50.51
Oceania,2010,426110.01,50.22
Oceania,2011,424300.0,49.82
Oceania,2012,426380.0,50.589999999999996
Oceania,2013,419980.0,51.22
Oceania,2014,412230.0,50.88
Oceania,2015,419419.99,51.44
Oceania,2016,427089.99,55.2
Oceania,2017,433150.0,57.3
Oceania,2018,430400.01,54.96
Oceania,2019,431550.0,54.97
